Algoritmo,Accuracy,F1_Macro,AUC_OVR
Multimodal CNN,0.11382925611582626,0.03038976122599816,0.46217012298349847
Naive Bayes,0.07388916625062407,0.08111624121257842,
Random Forest,0.6844732900649027,0.276282321863623,0.7197812299919908
XGBoost,0.6804792810783824,0.27073199193873804,0.753488531083813
SVM,0.6694957563654518,0.11457621326042379,0.6425289422579424
